run,total_timesteps,death,dmg_dealt,kill,pool_lost,ep_len_mean,ep_rew_mean,fps,iterations,time_elapsed,death_rate,ep_length_mean,ep_reward_mean,kill_rate,left_rate,timeout_rate,zulrah_min_hp_mean,approx_kl,clip_fraction,clip_range,entropy_loss,explained_variance,learning_rate,loss,n_updates,policy_gradient_loss,value_loss
v2_faithful,8192.0,-0.219,0.00326,0.0,-0.966,6.81,-10.1,151.0,1.0,54.0,0.99,6.81,-10.1,0.0,0.01,0.0,498.0,,,,,,,,,,
v2_faithful,16384.0,-0.114,0.00221,0.0,-0.525,10.4,-10.3,161.0,2.0,101.0,0.99,10.4,-10.3,0.0,0.01,0.0,495.0,0.009102838,0.057,0.2,-2.56,0.0195,0.0003,10.4,10.0,-0.00801,24.3
v2_faithful,24576.0,-0.0525,0.00143,0.0,-0.241,36.2,-10.4,178.0,3.0,137.0,0.93,36.2,-10.4,0.0,0.03,0.0,493.0,0.009430582,0.0566,0.2,-2.55,0.642,0.0003,4.65,20.0,-0.00799,10.6
v2_faithful,32768.0,-0.0686,0.00195,0.0,-0.267,30.7,-9.61,183.0,4.0,178.0,0.96,30.7,-9.61,0.0,0.01,0.0,490.0,0.008976495,0.058,0.2,-2.53,0.77,0.0003,2.91,30.0,-0.0101,5.09
v2_faithful,40960.0,-0.101,0.00239,0.0,-0.441,16.0,-11.1,182.0,5.0,224.0,0.99,16.0,-11.1,0.0,0.0,0.0,495.0,0.0070291115,0.0547,0.2,-2.53,0.7,0.0003,3.62,40.0,-0.00835,6.7
v2_faithful,49152.0,-0.125,0.00275,0.0,-0.531,7.51,-9.87,181.0,6.0,271.0,0.96,7.51,-9.87,0.0,0.04,0.0,496.0,0.0070800167,0.0403,0.2,-2.52,0.67,0.0003,4.67,50.0,-0.00695,9.97
v2_faithful,57344.0,-0.138,0.00321,0.0,-0.605,7.95,-10.0,177.0,7.0,323.0,0.97,7.95,-10.0,0.0,0.03,0.0,496.0,0.0078114485,0.047,0.2,-2.5,0.641,0.0003,5.03,60.0,-0.00875,11.5
v2_faithful,65536.0,-0.0649,0.00169,0.0,-0.299,30.4,-9.9,181.0,8.0,360.0,0.96,30.4,-9.9,0.0,0.01,0.0,493.0,0.0074177505,0.0454,0.2,-2.49,0.627,0.0003,5.58,70.0,-0.00781,12.3
v2_faithful,73728.0,-0.0688,0.00155,0.0,-0.293,22.6,-9.73,182.0,9.0,403.0,0.94,22.6,-9.73,0.0,0.04,0.0,495.0,0.007344627,0.053,0.2,-2.5,0.759,0.0003,3.17,80.0,-0.00811,6.63
v2_faithful,81920.0,-0.118,0.00239,0.0,-0.504,14.5,-11.1,182.0,10.0,449.0,0.99,14.5,-11.1,0.0,0.0,0.0,496.0,0.0068901395,0.0486,0.2,-2.5,0.744,0.0003,2.81,90.0,-0.00946,6.69
